YYYY-MM-DD,hh:mm, Original, Calculated, Flag
1952/10/1,--:--,4256,-999,0
1952/11/1,--:--,2044,-999,0
1952/12/1,--:--,1224,-999,0
1953/1/1,--:--,929,-999,0
1953/2/1,--:--,756,-999,0
1953/3/1,--:--,866,-999,0
1953/4/1,--:--,933,-999,0
1953/5/1,--:--,563,-999,0
1953/6/1,--:--,671,-999,0
1953/7/1,--:--,1941,-999,0
1953/8/1,--:--,8587,-999,0
1953/9/1,--:--,7870,-999,0
1953/10/1,--:--,4741,-999,0
1953/11/1,--:--,2094,-999,0
1953/12/1,--:--,1351,-999,0
1954/1/1,--:--,955,-999,0
1954/2/1,--:--,739,-999,0
1954/3/1,--:--,952,-999,0
1954/4/1,--:--,906,-999,0
1954/5/1,--:--,616,-999,0
1954/6/1,--:--,555,-999,0
1954/7/1,--:--,2564,-999,0
1954/8/1,--:--,9408,-999,0
1954/9/1,--:--,10648,-999,0
1954/10/1,--:--,7093,-999,0
1954/11/1,--:--,2843,-999,0
1954/12/1,--:--,1676,-999,0
1955/1/1,--:--,1314,-999,0
1955/2/1,--:--,1066,-999,0
1955/3/1,--:--,802,-999,0
1955/4/1,--:--,956,-999,0
1955/5/1,--:--,944,-999,0
1955/6/1,--:--,922,-999,0
1955/7/1,--:--,1877,-999,0
1955/8/1,--:--,7429,-999,0
1955/9/1,--:--,8834,-999,0
1955/10/1,--:--,6421,-999,0
1955/11/1,--:--,2469,-999,0
1955/12/1,--:--,1527,-999,0
1956/1/1,--:--,1273,-999,0
1956/2/1,--:--,1089,-999,0
1956/3/1,--:--,922,-999,0
1956/4/1,--:--,999,-999,0
1956/5/1,--:--,1015,-999,0
1956/6/1,--:--,1014,-999,0
1956/7/1,--:--,2486,-999,0
1956/8/1,--:--,7504,-999,0
1956/9/1,--:--,8024,-999,0
1956/10/1,--:--,6683,-999,0
1956/11/1,--:--,4282,-999,0
1956/12/1,--:--,1963,-999,0
1957/1/1,--:--,1400,-999,0
1957/2/1,--:--,1248,-999,0
1957/3/1,--:--,925,-999,0
1957/4/1,--:--,1126,-999,0
1957/5/1,--:--,1146,-999,0
1957/6/1,--:--,1307,-999,0
1957/7/1,--:--,1780,-999,0
1957/8/1,--:--,6944,-999,0
1957/9/1,--:--,7523,-999,0
1957/10/1,--:--,3184,-999,0
1957/11/1,--:--,1682,-999,0
1957/12/1,--:--,1127,-999,0
1958/1/1,--:--,866,-999,0
1958/2/1,--:--,777,-999,0
1958/3/1,--:--,810,-999,0
1958/4/1,--:--,925,-999,0
1958/5/1,--:--,660,-999,0
1958/6/1,--:--,621,-999,0
1958/7/1,--:--,2210,-999,0
1958/8/1,--:--,9408,-999,0
1958/9/1,--:--,8757,-999,0
1958/10/1,--:--,5675,-999,0
1958/11/1,--:--,2758,-999,0
1958/12/1,--:--,1695,-999,0
1959/1/1,--:--,1202,-999,0
1959/2/1,--:--,954,-999,0
1959/3/1,--:--,851,-999,0
1959/4/1,--:--,979,-999,0
1959/5/1,--:--,847,-999,0
1959/6/1,--:--,717,-999,0
1959/7/1,--:--,1482,-999,0
1959/8/1,--:--,7280,-999,0
1959/9/1,--:--,10725,-999,0
1959/10/1,--:--,5525,-999,0
1959/11/1,--:--,3267,-999,0
1959/12/1,--:--,1624,-999,0
1960/1/1,--:--,1164,-999,0
1960/2/1,--:--,886,-999,0
1960/3/1,--:--,832,-999,0
1960/4/1,--:--,964,-999,0
1960/5/1,--:--,933,-999,0
1960/6/1,--:--,694,-999,0
1960/7/1,--:--,1672,-999,0
1960/8/1,--:--,6496,-999,0
1960/9/1,--:--,7870,-999,0
1960/10/1,--:--,5040,-999,0
1960/11/1,--:--,2071,-999,0
1960/12/1,--:--,1172,-999,0
1961/1/1,--:--,952,-999,0
1961/2/1,--:--,1149,-999,0
1961/3/1,--:--,862,-999,0
1961/4/1,--:--,1003,-999,0
1961/5/1,--:--,757,-999,0
1961/6/1,--:--,582,-999,0
1961/7/1,--:--,2445,-999,0
1961/8/1,--:--,8661,-999,0
1961/9/1,--:--,10339,-999,0
1961/10/1,--:--,6496,-999,0
1961/11/1,--:--,2916,-999,0
1961/12/1,--:--,1836,-999,0
1962/1/1,--:--,1370,-999,0
1962/2/1,--:--,1140,-999,0
1962/3/1,--:--,966,-999,0
1962/4/1,--:--,1153,-999,0
1962/5/1,--:--,1112,-999,0
1962/6/1,--:--,1242,-999,0
1962/7/1,--:--,1866,-999,0
1962/8/1,--:--,6496,-999,0
1962/9/1,--:--,8719,-999,0
1962/10/1,--:--,5787,-999,0
1962/11/1,--:--,2249,-999,0
1962/12/1,--:--,1500,-999,0
1963/1/1,--:--,1250,-999,0
1963/2/1,--:--,1165,-999,0
1963/3/1,--:--,955,-999,0
1963/4/1,--:--,1087,-999,0
1963/5/1,--:--,1213,-999,0
1963/6/1,--:--,1385,-999,0
1963/7/1,--:--,2609,-999,0
1963/8/1,--:--,8251,-999,0
1963/9/1,--:--,7600,-999,0
1963/10/1,--:--,3957,-999,0
1963/11/1,--:--,1882,-999,0
1963/12/1,--:--,1702,-999,0
1964/1/1,--:--,1605,-999,0
1964/2/1,--:--,1293,-999,0
1964/3/1,--:--,1067,-999,0
1964/4/1,--:--,1041,-999,0
1964/5/1,--:--,1355,-999,0
1964/6/1,--:--,1581,-999,0
1964/7/1,--:--,2956,-999,0
1964/8/1,--:--,9296,-999,0
1964/9/1,--:--,9915,-999,0
1964/10/1,--:--,6123,-999,0
1964/11/1,--:--,3645,-999,0
1964/12/1,--:--,2184,-999,0
1965/1/1,--:--,2146,-999,0
1965/2/1,--:--,2099,-999,0
1965/3/1,--:--,1639,-999,0
1965/4/1,--:--,1381,-999,0
1965/5/1,--:--,1556,-999,0
1965/6/1,--:--,1743,-999,0
1965/7/1,--:--,2172,-999,0
1965/8/1,--:--,5525,-999,0
1965/9/1,--:--,6018,-999,0
1965/10/1,--:--,4106,-999,0
1965/11/1,--:--,2546,-999,0
1965/12/1,--:--,1833,-999,0
1966/1/1,--:--,1467,-999,0
1966/2/1,--:--,1248,-999,0
1966/3/1,--:--,948,-999,0
1966/4/1,--:--,1238,-999,0
1966/5/1,--:--,1325,-999,0
1966/6/1,--:--,1199,-999,0
1966/7/1,--:--,2079,-999,0
1966/8/1,--:--,4778,-999,0
1966/9/1,--:--,6751,-999,0
1966/10/1,--:--,2721,-999,0
1966/11/1,--:--,1724,-999,0
1966/12/1,--:--,1691,-999,0
1967/1/1,--:--,1736,-999,0
1967/2/1,--:--,1366,-999,0
1967/3/1,--:--,787,-999,0
1967/4/1,--:--,1151,-999,0
1967/5/1,--:--,1238,-999,0
1967/6/1,--:--,1168,-999,0
1967/7/1,--:--,2199,-999,0
1967/8/1,--:--,7430,-999,0
1967/9/1,--:--,8506,-999,0
1967/10/1,--:--,5196,-999,0
1967/11/1,--:--,2407,-999,0
1967/12/1,--:--,1967,-999,0
1968/1/1,--:--,1527,-999,0
1968/2/1,--:--,1365,-999,0
1968/3/1,--:--,1076,-999,0
1968/4/1,--:--,1215,-999,0
1968/5/1,--:--,1215,-999,0
1968/6/1,--:--,1152,-999,0
1968/7/1,--:--,2615,-999,0
1968/8/1,--:--,6655,-999,0
1968/9/1,--:--,4398,-999,0
1968/10/1,--:--,3715,-999,0
1968/11/1,--:--,1770,-999,0
1968/12/1,--:--,1377,-999,0
1969/1/1,--:--,1102,-999,0
1969/2/1,--:--,948,-999,0
1969/3/1,--:--,983,-999,0
1969/4/1,--:--,1481,-999,0
1969/5/1,--:--,1412,-999,0
1969/6/1,--:--,991,-999,0
1969/7/1,--:--,2199,-999,0
1969/8/1,--:--,7384,-999,0
1969/9/1,--:--,6712,-999,0
1969/10/1,--:--,2337,-999,0
1969/11/1,--:--,1527,-999,0
1969/12/1,--:--,1250,-999,0
1970/1/1,--:--,1215,-999,0
1970/2/1,--:--,1064,-999,0
1970/3/1,--:--,800,-999,0
1970/4/1,--:--,1342,-999,0
1970/5/1,--:--,1192,-999,0
1970/6/1,--:--,848,-999,0
1970/7/1,--:--,1284,-999,0
